match_id,season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,home_team,month,day,day_name,ms_batting_team,ms_bowling_team,ms_runs_scored,ms_wickets,ms_fours,ms_sixes,ms_dots,ms_no_balls,ms_wides
1359485,2023,Rajasthan Royals,Delhi Capitals,2023-04-08,11,Barsapara Cricket Stadium,Guwahati,Delhi Capitals,field,YBK Jaiswal,Navdeep Singh,MV Saidharshan Kumar,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,57.0,,Group,Rajasthan Royals,April,8,Saturday,Delhi Capitals,Rajasthan Royals,,9,15,0,0,1,7
1359510,2023,Kolkata Knight Riders,Royal Challengers Bangalore,2023-04-26,36,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,field,CV Varun,KN Ananthapadmanabhan,R Pandit,Abhijit Bhattacharya,Amit Sharma,Kolkata Knight Riders,21.0,,Group,Royal Challengers Bangalore,April,26,Wednesday,Royal Challengers Bangalore,Kolkata Knight Riders,,8,12,7,0,,3
1359538,2023,Delhi Capitals,Punjab Kings,2023-05-17,64,Himachal Pradesh Cricket Association Stadium,Dharamsala,Punjab Kings,field,RR Rossouw,KN Ananthapadmanabhan,MV Saidharshan Kumar,P Joshi,P Dharmani,Delhi Capitals,15.0,,Group,Punjab Kings,May,17,Wednesday,Delhi Capitals,Punjab Kings,,2,20,11,0,,5
1359479,2023,Mumbai Indians,Royal Challengers Bangalore,2023-04-02,5,M Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,field,F du Plessis,Nitin Menon,Tapan Sharma,A Bengeri,J Srinath,Royal Challengers Bangalore,,8.0,Group,Royal Challengers Bangalore,April,2,Sunday,Royal Challengers Bangalore,Mumbai Indians,,2,11,13,0,,4
1359509,2023,Gujarat Titans,Mumbai Indians,2023-04-25,35,Narendra Modi Stadium,Ahmedabad,Mumbai Indians,field,A Manohar,AK Chaudhary,A Nand Kishore,M Krishnadas,SA Satbhai,Gujarat Titans,55.0,,Group,Gujarat Titans,April,25,Tuesday,Gujarat Titans,Mumbai Indians,,6,14,12,0,,5
1359535,2023,Chennai Super Kings,Kolkata Knight Riders,2023-05-14,61,MA Chidambaram Stadium,Chennai,Chennai Super Kings,bat,RK Singh,Tapan Sharma,Vinod Seshan,VM Dhokre,J Srinath,Kolkata Knight Riders,,6.0,Group,Chennai Super Kings,May,14,Sunday,Kolkata Knight Riders,Chennai Super Kings,,4,13,4,0,1,10
1359535,2023,Chennai Super Kings,Kolkata Knight Riders,2023-05-14,61,MA Chidambaram Stadium,Chennai,Chennai Super Kings,bat,RK Singh,Tapan Sharma,Vinod Seshan,VM Dhokre,J Srinath,Kolkata Knight Riders,,6.0,Group,Chennai Super Kings,May,14,Sunday,Chennai Super Kings,Kolkata Knight Riders,,6,7,5,0,2,4
1359478,2023,Rajasthan Royals,Sunrisers Hyderabad,2023-04-02,4,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,field,JC Buttler,KN Ananthapadmanabhan,R Pandit,Abhijit Bhattacharya,V Narayan Kutty,Rajasthan Royals,72.0,,Group,Sunrisers Hyderabad,April,2,Sunday,Rajasthan Royals,Sunrisers Hyderabad,,5,21,8,0,,2
1359497,2023,Gujarat Titans,Rajasthan Royals,2023-04-16,23,Narendra Modi Stadium,Ahmedabad,Rajasthan Royals,field,SO Hetmyer,AK Chaudhary,CB Gaffaney,M Kuppuraj,Prakash Bhatt,Rajasthan Royals,,3.0,Group,Gujarat Titans,April,16,Sunday,Gujarat Titans,Rajasthan Royals,,7,13,7,0,,4
1359516,2023,Rajasthan Royals,Mumbai Indians,2023-04-30,42,Wankhede Stadium,Mumbai,Rajasthan Royals,bat,YBK Jaiswal,Vinod Seshan,VK Sharma,VM Dhokre,J Srinath,Mumbai Indians,,6.0,Group,Mumbai Indians,April,30,Sunday,Mumbai Indians,Rajasthan Royals,,4,21,10,0,1,7
